Wavelength,A_lambda/tau1,Al_Ebv
5298,2.93905,3.01496
5301,2.93657,3.01242
5304,2.93411,3.00989
5307,2.93164,3.00736
5310,2.92918,3.00484
5313,2.92673,3.00232
5316,2.92428,2.99981
5319,2.92183,2.9973
5322,2.91939,2.99479
5325,2.91695,2.99229
5328,2.91452,2.9898
5331,2.91209,2.98731
5334,2.90967,2.98482
5337,2.90725,2.98234
5340,2.90483,2.97986
5343,2.90242,2.97738
5346,2.90001,2.97492
5349,2.89761,2.97245
5352,2.89521,2.96999
5355,2.89282,2.96754
5358,2.89043,2.96509
5361,2.88805,2.96264
5364,2.88567,2.9602
5367,2.88329,2.95776
5370,2.88092,2.95533
5373,2.87855,2.9529
5376,2.87619,2.95048
5379,2.87383,2.94806
5382,2.87148,2.94565
5385,2.86913,2.94324
5388,2.86679,2.94083
5391,2.86445,2.93843
5394,2.86211,2.93604
5397,2.85978,2.93365
5400,2.85746,2.93126
5403,2.85513,2.92888
5406,2.85282,2.9265
5409,2.85051,2.92413
5412,2.8482,2.92176
5415,2.84589,2.9194
5418,2.8436,2.91704
5421,2.8413,2.91469
5424,2.83901,2.91234
5427,2.83673,2.90999
5430,2.83445,2.90766
5433,2.83217,2.90532
5436,2.8299,2.90299
5439,2.82763,2.90067
5442,2.82537,2.89835
5445,2.82311,2.89603
5448,2.82086,2.89372
5451,2.81861,2.89141
5454,2.81637,2.88911
5457,2.81413,2.88681
5460,2.8119,2.88452
5463,2.80967,2.88223
5466,2.80744,2.87995
5469,2.80522,2.87767
5472,2.803,2.8754
5475,2.80079,2.87313
5478,2.79859,2.87087
5481,2.79638,2.86861
5484,2.79419,2.86636
5487,2.79199,2.86411
5490,2.78981,2.86186
5493,2.78762,2.85962
5496,2.78544,2.85739
5499,2.78327,2.85516
5502,2.7811,2.85293
5505,2.77893,2.85071
5508,2.77677,2.84849
5511,2.77462,2.84628
5514,2.77247,2.84408
5517,2.77032,2.84187
5520,2.76818,2.83968
5523,2.76604,2.83748
5526,2.76391,2.8353
5529,2.76178,2.83311
5532,2.75966,2.83094
5535,2.75754,2.82876
5538,2.75542,2.82659
5541,2.75332,2.82443
5544,2.75121,2.82227
5547,2.74911,2.82011
5550,2.74701,2.81797
5553,2.74492,2.81582
5556,2.74284,2.81368
5559,2.74075,2.81154
5562,2.73868,2.80941
5565,2.7366,2.80729
5568,2.73454,2.80516
5571,2.73247,2.80305
5574,2.73041,2.80094
5577,2.72836,2.79883
5580,2.72631,2.79673
5583,2.72426,2.79463
5586,2.72222,2.79253
5589,2.72019,2.79045
5592,2.71816,2.78836
5595,2.71613,2.78628
5598,2.71411,2.78421
5601,2.71209,2.78214
5604,2.71008,2.78007
5607,2.70807,2.77801
5610,2.70606,2.77596
